,0
0,AALR3
1,ABCB4
2,ABEV3
3,ADHM3
4,AFLT3
5,AGBK4
6,AGRA4
7,AGRO3
8,AHEB3
9,AHEB5
10,AHEB6
11,ALPA3
12,ALPA4
13,ALSO3
14,ALUP3
15,ALUP4
16,AMAR3
17,AMZG3
18,ANIM3
19,APER3
20,APTI3
21,APTI4
22,ARZZ3
23,ATMP3
24,ATOM3
25,AZEV3
26,AZEV4
27,AZUL4
28,B3SA3
29,BAHI3
30,BALM3
31,BALM4
32,BAUH3
33,BAUH4
34,BAZA3
35,BBAS3
36,BBDC3
37,BBDC4
38,BBML3
39,BBRK3
40,BBSE3
41,BCPS3
42,BCPS4
43,BDLL3
44,BDLL4
45,BEEF3
46,BEES3
47,BEES4
48,BEGB4
49,BGIP3
50,BGIP4
51,BIDI3
52,BIDI4
53,BIOM3
54,BKBR3
55,BLAU3
56,BMEB3
57,BMEB4
58,BMGB4
59,BMIN3
60,BMIN4
61,BMKS3
62,BNBR3
63,BOBR3
64,BOBR4
65,BPAC3
66,BPAC5
67,BPAN4
68,BPAR3
69,BRAP3
70,BRAP4
71,BRDT3
72,BRFS3
73,BRGE3
74,BRGE5
75,BRGE6
76,BRGE7
77,BRGE8
78,BRIV3
79,BRIV4
80,BRKM3
81,BRKM5
82,BRKM6
83,BRML3
84,BRPR3
85,BRQB3
86,BRSR3
87,BRSR5
88,BRSR6
89,BSEV3
90,BSLI3
91,BSLI4
92,BTOW3
93,BTTL3
94,BVEN3
95,CAAC3
96,CALI3
97,CALI4
98,CAMB3
99,CAML3
100,CARD3
101,CASN3
102,CASN4
103,CATA3
104,CATA4
105,CBEE3
106,CCAT3
107,CCAT4
108,CCPR3
109,CCRO3
110,CEAB3
111,CEAC3
112,CEAC4
113,CEAG3
114,CEAL3
115,CEAL4
116,CEBR3
117,CEBR5
118,CEBR6
119,CEDO3
120,CEDO4
121,CEEB3
122,CEEB5
123,CEEB6
124,CEED3
125,CEED4
126,CEGR3
127,CEPE3
128,CEPE5
129,CEPE6
130,CERO3
131,CESA3
132,CESP3
133,CESP5
134,CESP6
135,CFHO3
136,CFHO4
137,CGAS3
138,CGAS5
139,CGOS3
140,CGRA3
141,CGRA4
142,CIEL3
143,CLSC3
144,CLSC4
145,CMIG3
146,CMIG4
147,CMNS3
148,CMSA3
149,CMSA4
150,CNRT5
151,CNSY3
152,CNTO3
153,COCE3
154,COCE5
155,COCE6
156,COCN5
157,COGN3
158,CORR3
159,CORR4
160,CPCH3
161,CPCH7
162,CPFE3
163,CPIS3
164,CPIS4
165,CPLE3
166,CPLE5
167,CPLE6
168,CPNO7
169,CPRE3
170,CRDE3
171,CRFB3
172,CRIV3
173,CRIV4
174,CRML4
175,CRPC4
176,CRPG3
177,CRPG5
178,CRPG6
179,CSAB3
180,CSAB4
181,CSAL4
182,CSAM3
183,CSAM4
184,CSAN3
185,CSMG3
186,CSNA3
187,CSRN3
188,CSRN5
189,CSRN6
190,CTCA3
191,CTKA3
192,CTKA4
193,CTNM3
194,CTNM4
195,CTSA3
196,CTSA4
197,CTSA8
198,CVCB3
199,CYRE3
200,DASA3
201,DASS3
202,DIRR3
203,DMMO3
204,DOHL3
205,DOHL4
206,DTCY3
207,DTCY4
208,DTEN3
209,DTEN6
210,DTEX3
211,DXXI3
212,EALT3
213,EALT4
214,EBTL3
215,ECOR3
216,ECPR3
217,ECPR4
218,EEEL3
219,EEEL4
220,EGCE3
221,EGIE3
222,EKTR3
223,EKTR4
224,ELBR4
225,ELEK3
226,ELEK4
227,ELET3
228,ELET5
229,ELET6
230,EMAE3
231,EMAE4
232,EMBP3
233,EMBP4
234,EMBR3
235,ENAC3
236,ENAT3
237,ENBR3
238,ENEV3
239,ENGI3
240,ENGI4
241,ENMT3
242,ENMT4
243,EPCO3
244,EPTR4
245,EQPA3
246,EQPA5
247,EQPA6
248,EQPA7
249,EQTL3
250,ESSD3
251,ESTR3
252,ESTR4
253,ETER3
254,ETGO3
255,ETGO4
256,EUCA3
257,EUCA4
258,EVEN3
259,EZTC3
260,FAEL6
261,FAEL7
262,FESA3
263,FESA4
264,FGRT5
265,FHER3
266,FIGE3
267,FIGE4
268,FLEX3
269,FLRY3
270,FNCN3
271,FNUV3
272,FRAS3
273,FRIO3
274,FRNV3
275,FRTA3
276,FTRO3
277,GEPA3
278,GEPA4
279,GFSA3
280,GGBR3
281,GGBR4
282,GNDI3
283,GOAU3
284,GOAU4
285,GOLL4
286,GPAR3
287,GPCP3
288,GPCP4
289,GPLA5
290,GRND3
291,GSHP3
292,GUAR3
293,HAGA3
294,HAGA4
295,HAPV3
296,HBOR3
297,HBSA3
298,HBTS3
299,HBTS5
300,HBTS6
301,HETA3
302,HETA4
303,HGTX3
304,HLJP3
305,HOAM5
306,HOAM6
307,HOOT3
308,HOOT4
309,HYPE3
310,IDNT3
311,IDVL3
312,IDVL4
313,IGBR3
314,IGSN3
315,IGTA3
316,INEP3
317,INEP4
318,INNT3
319,IRBR3
320,ITSA3
321,ITSA4
322,ITUB3
323,ITUB4
324,JBDU3
325,JBDU4
326,JBSS3
327,JCBA6
328,JFEN3
329,JHSF3
330,JOPA3
331,JOPA4
332,JPSA3
333,JSLG3
334,KALS5
335,KEPL3
336,KLBN3
337,KLBN4
338,LAME3
339,LAME4
340,LCAM3
341,LEVE3
342,LIGT3
343,LINX3
344,LIPR3
345,LLIS3
346,LMED3
347,LOGG3
348,LOGN3
349,LOGS3
350,LOGS4
351,LPSB3
352,LREN3
353,LUPA3
354,LUXM3
355,LUXM4
356,LWSA3
357,MAPT3
358,MAPT4
359,MAQN3
360,MAQN4
361,MDIA3
362,MDIN3
363,MDNE3
364,MDSI3
365,MEAL3
366,MERC3
367,MERC4
368,MGEL3
369,MGEL4
370,MGFB3
371,MGLU3
372,MILS3
373,MMAQ3
374,MMAQ4
375,MMBR3
376,MMBR4
377,MMCA3
378,MMCA4
379,MMCF3
380,MMCF4
381,MMXM3
382,MNBI3
383,MNDL3
384,MNPR3
385,MOAR3
386,MOVI3
387,MRFG3
388,MRVE3
389,MSPA3
390,MSPA4
391,MSRO3
392,MTAL3
393,MTAL6
394,MTIG3
395,MTIG4
396,MTNR5
397,MTNR7
398,MTRE3
399,MTSA3
400,MTSA4
401,MULT3
402,MWET3
403,MWET4
404,MWIS6
405,MYPK3
406,NAFG3
407,NAFG4
408,NAII3
409,NAII4
410,NEMO3
411,NEMO5
412,NEMO6
413,NEOE3
414,NESB3
415,NIPL3
416,NODA3
417,NODA6
418,NORD3
419,NRTQ3
420,NTCO3
421,NUTR3
422,NXVL3
423,NXVL4
424,ODER3
425,ODER4
426,ODPV3
427,OFSA3
428,OIBR3
429,OIBR4
430,OMGE3
431,OSXB3
432,PARD3
433,PATI3
434,PATI4
435,PCAR3
436,PCFV4
437,PDGR3
438,PEAB3
439,PEAB4
440,PETR3
441,PETR4
442,PFRM3
443,PINE3
444,PINE4
445,PLAS3
446,PLFS3
447,PLSP3
448,PMAM3
449,PNVL3
450,PNVL4
451,POMO3
452,POMO4
453,POSI3
454,PPAR3
455,PRIO3
456,PRNR3
457,PSEG3
458,PSEG4
459,PSSA3
460,PTBL3
461,PTBP4
462,PTCA3
463,PTNT3
464,PTNT4
465,PTSL3
466,PTSL4
467,QUAL3
468,QUSW3
469,RADL3
470,RAIL3
471,RANI3
472,RANI4
473,RAPT3
474,RAPT4
475,RCSL3
476,RCSL4
477,RDNI3
478,REDE3
479,REFC4
480,RENT3
481,RFAG3
482,RHED4
483,RHPY3
484,RIBC8
485,RLOG3
486,RNEW3
487,RNEW4
488,RNPT4
489,ROMI3
490,RPAD3
491,RPAD5
492,RPAD6
493,RPMG3
494,RSID3
495,RSUL3
496,RSUL4
497,SANB3
498,SANB4
499,SANY6
500,SAPR3
501,SAPR4
502,SBSP3
503,SCAR3
504,SDRM3
505,SDRM6
506,SEER3
507,SGPS3
508,SHOW3
509,SHUL3
510,SHUL4
511,SILO3
512,SILO4
513,SIMR7
514,SLCE3
515,SLED3
516,SLED4
517,SMFT3
518,SMLS3
519,SMTO3
520,SNSY3
521,SNSY5
522,SNSY6
523,SOND3
524,SOND5
525,SOND6
526,SPCI6
527,SPCR3
528,SPRI3
529,SPRI5
530,SPRI6
531,SQIA3
532,STAL6
533,STBP3
534,STKF3
535,STTR3
536,SULA3
537,SULA4
538,SUZB3
539,SVPH7
540,TAEE3
541,TAEE4
542,TASA3
543,TASA4
544,TCNO3
545,TCNO4
546,TCQC3
547,TCQC4
548,TCSA3
549,TECN3
550,TEKA3
551,TEKA4
552,TELB3
553,TELB4
554,TEND3
555,TESA3
556,TGMA3
557,TIET3
558,TIET4
559,TIMP3
560,TKNO3
561,TKNO4
562,TOTS3
563,TPIS3
564,TRBR3
565,TRBR4
566,TREG3
567,TRIS3
568,TRPL3
569,TRPL4
570,TUPY3
571,TVIT3
572,TXBZ5
573,TXRX3
574,TXRX4
575,UCAS3
576,UGPA3
577,UNIP3
578,UNIP5
579,UNIP6
580,USAT4
581,USIM3
582,USIM5
583,USIM6
584,VALE3
585,VAMO3
586,VECF3
587,VIVA3
588,VIVR3
589,VIVT3
590,VIVT4
591,VLID3
592,VLPN3
593,VSPT3
594,VSPT4
595,VULC3
596,VVAR3
597,WEGE3
598,WHRL3
599,WHRL4
600,WIRE3
601,WIZS3
602,WLMM3
603,WLMM4
604,YDUQ3
